64.31,60.94,59.44,40.36,27.62,,unknown,unknown,59,0,21,1,0,0,0,phantom_advanced_stealth_craft.png,"Experienced Pirate",21,0,0,0,2,0,0
64.31,60.94,59.44,40.36,27.62,,unknown,unknown,16,0,8,0,0,0,0,phantom_advanced_stealth_craft.png,"Inexperienced Pirate",4,0,0,0,0,0,0
64.31,60.94,59.44,40.36,27.62,,unknown,unknown,3,0,3,0,0,0,0,phantom_advanced_stealth_craft.png,"Inexperienced Pirate",0,0,0,0,0,0,0
64.31,60.94,59.44,40.37,27.62,,unknown,unknown,155,0,23,3,0,0,0,phantom_advanced_stealth_craft.png,"Ice Beast",38,0,1,0,4,1,0
92,89.03,93.33,57.11,49.91,,unknown,unknown,100,0,8,0,0,0,0,hawk.png,Euryale,160,0,2,1,4,0,0
91.98,89.02,93.31,57.1,49.9,,unknown,unknown,100,0,7,0,0,0,0,hawk.png,Euryale,160,0,3,2,4,3,1
64.31,60.94,59.45,40.39,27.62,,unknown,unknown,120,0,23,1,0,0,0,phantom_advanced_stealth_craft.png,"Ice Beast",28,0,0,0,3,1,0
92.02,89.04,93.35,57.11,49.91,,unknown,unknown,100,0,4,0,0,0,0,hawk.png,Euryale,160,0,3,1,4,0,0
91.95,89,93.28,57.1,49.9,,unknown,unknown,100,0,9,0,0,0,0,hawk.png,Euryale,160,0,3,0,4,1,0
91.93,88.99,93.26,57.09,49.89,,unknown,unknown,100,0,4,0,0,0,0,hawk.png,Euryale,160,0,4,2,4,2,0
91.91,88.98,93.24,57.09,49.89,,unknown,unknown,100,0,11,0,0,0,0,hawk.png,Euryale,160,0,0,0,4,1,0
91.89,88.96,93.22,57.09,49.89,,unknown,unknown,100,0,11,0,0,0,0,hawk.png,Euryale,160,0,2,0,4,0,0
92.04,89.05,93.37,57.11,49.91,,unknown,unknown,100,0,6,0,0,0,0,hawk.png,Euryale,160,0,3,0,4,3,2
64.33,60.94,59.45,40.41,27.63,,unknown,unknown,160,0,33,3,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Battlecruiser",100,0,1,0,4,2,0
64.33,60.94,59.45,40.41,27.63,,unknown,unknown,8,0,0,0,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Battlecruiser",5,0,0,0,0,0,0
64.33,60.94,59.45,40.41,27.63,,unknown,unknown,10,0,2,0,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Battlecruiser",5,0,0,0,0,0,0
64.35,60.94,59.45,40.42,27.63,,unknown,unknown,160,0,20,1,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Battlecruiser",100,0,5,2,4,1,0
64.36,60.94,59.45,40.43,27.63,,unknown,unknown,40,0,7,0,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Battlecruiser",25,0,0,0,1,1,1
64.36,60.94,59.45,40.43,27.64,,unknown,unknown,28,0,8,2,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Battlecruiser",15,0,0,0,1,1,0
92.07,89.07,93.39,57.11,49.92,,unknown,unknown,100,0,3,0,0,0,0,hawk.png,Euryale,160,0,2,0,4,2,0
92.09,89.08,93.41,57.12,49.92,,unknown,unknown,100,0,4,0,0,0,0,hawk.png,Euryale,160,0,5,1,4,2,2
92.11,89.09,93.43,57.12,49.93,,unknown,unknown,100,0,10,0,0,0,0,hawk.png,Euryale,160,0,3,0,4,0,0
92.12,89.11,93.45,57.12,49.93,,unknown,unknown,100,0,5,0,0,0,0,hawk.png,Euryale,160,0,4,1,4,3,0
64.36,60.94,59.45,40.44,27.64,,unknown,unknown,104,0,20,2,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Squad",48,0,1,0,0,0,0
64.36,60.94,59.45,40.44,27.64,,unknown,unknown,104,0,20,1,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Squad",48,0,3,1,0,0,0
64.36,60.94,59.45,40.44,27.64,,unknown,unknown,99,0,20,1,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Squad",48,0,0,0,0,0,0
64.36,60.94,59.45,40.44,27.64,,unknown,unknown,1,0,1,0,0,0,0,phantom_advanced_stealth_craft.png,"Inexperienced Pirate",0,0,0,0,0,0,0
64.38,60.97,59.47,40.45,27.64,,unknown,unknown,160,0,12,2,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Mothership",80,0,4,1,4,0,0
64.4,61,59.49,40.45,27.65,,unknown,unknown,160,0,9,1,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Mothership",80,0,1,0,4,2,0
64.41,61.03,59.51,40.46,27.66,,unknown,unknown,160,0,8,1,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Mothership",80,0,6,0,4,0,0
64.44,61.09,59.54,40.47,27.67,,unknown,unknown,160,0,9,1,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Mothership",80,0,5,0,4,1,0
92.14,89.12,93.47,57.13,49.94,,unknown,unknown,100,0,3,0,0,0,0,hawk.png,Euryale,160,0,4,1,4,2,0
92.16,89.13,93.49,57.13,49.95,,unknown,unknown,100,0,9,0,0,0,0,hawk.png,Euryale,160,0,8,2,4,3,0
92.2,89.16,93.52,57.14,49.96,,unknown,unknown,100,0,11,0,0,0,0,hawk.png,Euryale,160,0,4,1,4,2,1
92.22,89.17,93.54,57.14,49.96,,unknown,unknown,100,0,11,0,0,0,0,hawk.png,Euryale,160,0,3,0,4,0,0
92.24,89.18,93.56,57.15,49.96,,unknown,unknown,100,0,10,0,0,0,0,hawk.png,Euryale,160,0,2,0,4,0,0
64.46,61.09,59.54,40.5,27.68,,unknown,unknown,160,0,30,5,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Battlecruiser",100,0,5,0,4,0,0
64.47,61.09,59.54,40.51,27.68,,unknown,unknown,16,0,5,1,0,0,0,phantom_advanced_stealth_craft.png,"X-993 Battlecruiser",5,0,0,0,0,0,0
92.25,89.19,93.58,57.15,49.97,,unknown,unknown,100,0,9,0,0,0,0,hawk.png,Euryale,160,0,1,0,4,1,0
